Taxa,Metabolite,Potential Score
Gloeobacter,L-Formylkynurenine,1.833523e-05
Hahella,L-Formylkynurenine,1.833523e-05
Jonesia,L-Formylkynurenine,1.833523e-05
Kosakonia,L-Formylkynurenine,1.833523e-05
Kribbella,L-Formylkynurenine,1.833523e-05
Latilactobacillus,L-Formylkynurenine,1.833523e-05
Moorella,L-Formylkynurenine,1.833523e-05
Morganella,L-Formylkynurenine,1.833523e-05
Natranaerobius,L-Formylkynurenine,1.833523e-05
Nevskia,L-Formylkynurenine,1.833523e-05
Ochrobactrum,L-Formylkynurenine,1.833523e-05
Oenococcus,L-Formylkynurenine,1.833523e-05
Oribacterium,L-Formylkynurenine,1.833523e-05
Paenisporosarcina,L-Formylkynurenine,1.833523e-05
Paraclostridium,L-Formylkynurenine,1.833523e-05
Pluralibacter,L-Formylkynurenine,1.833523e-05
Polaromonas,L-Formylkynurenine,1.833523e-05
Rhodothermus,L-Formylkynurenine,1.833523e-05
Roseobacter,L-Formylkynurenine,1.833523e-05
Segniliparus,L-Formylkynurenine,1.833523e-05
Skermanella,L-Formylkynurenine,1.833523e-05
Sneathia,L-Formylkynurenine,1.833523e-05
Syntrophus,L-Formylkynurenine,1.833523e-05
Thermanaerovibrio,L-Formylkynurenine,1.833523e-05
Thermobifida,L-Formylkynurenine,1.833523e-05
Thiobacillus,L-Formylkynurenine,1.833523e-05
Tissierella,L-Formylkynurenine,1.833523e-05
Trabulsiella,L-Formylkynurenine,1.833523e-05
unclassified_Burkholderiales,L-Formylkynurenine,1.833523e-05
unclassified_Sporolactobacillaceae,L-Formylkynurenine,1.833523e-05
Acaryochloris,L-Formylkynurenine,1.833545e-05
Acetanaerobacterium,L-Formylkynurenine,1.833545e-05
Acetivibrio,L-Formylkynurenine,1.833545e-05
Acetoanaerobium,L-Formylkynurenine,1.833545e-05
Acidimicrobium,L-Formylkynurenine,1.833545e-05
Acidothermus,L-Formylkynurenine,1.833545e-05
Actinosynnema,L-Formylkynurenine,1.833545e-05
Aeribacillus,L-Formylkynurenine,1.833545e-05
Agathobaculum,L-Formylkynurenine,1.833545e-05
Alkalilimnicola,L-Formylkynurenine,1.833545e-05
Allisonella,L-Formylkynurenine,1.833545e-05
Allochromatium,L-Formylkynurenine,1.833545e-05
Alloprevotella,L-Formylkynurenine,1.833545e-05
Amedibacillus,L-Formylkynurenine,1.833545e-05
Ammonifex,L-Formylkynurenine,1.833545e-05
Anaerobutyricum,L-Formylkynurenine,1.833545e-05
Anaerofustis,L-Formylkynurenine,1.833545e-05
Anaeroglobus,L-Formylkynurenine,1.833545e-05
Anaeromyxobacter,L-Formylkynurenine,1.833545e-05
Anaerorhabdus,L-Formylkynurenine,1.833545e-05
Anaerosporobacter,L-Formylkynurenine,1.833545e-05
Atlantibacter,L-Formylkynurenine,1.833545e-05
Beutenbergia,L-Formylkynurenine,1.833545e-05
Bilophila,L-Formylkynurenine,1.833545e-05
Brucella,L-Formylkynurenine,1.833545e-05
Bulleidia,L-Formylkynurenine,1.833545e-05
Butyricicoccus,L-Formylkynurenine,1.833545e-05
Caldanaerobacter,L-Formylkynurenine,1.833545e-05
Catabacter,L-Formylkynurenine,1.833545e-05
Catenibacterium,L-Formylkynurenine,1.833545e-05
Catenulispora,L-Formylkynurenine,1.833545e-05
Catonella,L-Formylkynurenine,1.833545e-05
Chloroherpeton,L-Formylkynurenine,1.833545e-05
Clavibacter,L-Formylkynurenine,1.833545e-05
Cloacibacterium,L-Formylkynurenine,1.833545e-05
Coprobacillus,L-Formylkynurenine,1.833545e-05
Coraliomargarita,L-Formylkynurenine,1.833545e-05
Croceibacter,L-Formylkynurenine,1.833545e-05
Cryptobacterium,L-Formylkynurenine,1.833545e-05
Dermacoccus,L-Formylkynurenine,1.833545e-05
Desulfohalobium,L-Formylkynurenine,1.833545e-05
Desulfotalea,L-Formylkynurenine,1.833545e-05
Desulfurivibrio,L-Formylkynurenine,1.833545e-05
Dichelobacter,L-Formylkynurenine,1.833545e-05
Dielma,L-Formylkynurenine,1.833545e-05
Dinoroseobacter,L-Formylkynurenine,1.833545e-05
Dolosigranulum,L-Formylkynurenine,1.833545e-05
Eggerthia,L-Formylkynurenine,1.833545e-05
Eikenella,L-Formylkynurenine,1.833545e-05
Eisenbergiella,L-Formylkynurenine,1.833545e-05
Elusimicrobium,L-Formylkynurenine,1.833545e-05
Emergencia,L-Formylkynurenine,1.833545e-05
Faecalibaculum,L-Formylkynurenine,1.833545e-05
Faecalicoccus,L-Formylkynurenine,1.833545e-05
Faecalitalea,L-Formylkynurenine,1.833545e-05
Finegoldia,L-Formylkynurenine,1.833545e-05
Flaviflexus,L-Formylkynurenine,1.833545e-05
Flavonifractor,L-Formylkynurenine,1.833545e-05
Fournierella,L-Formylkynurenine,1.833545e-05
Fusicatenibacter,L-Formylkynurenine,1.833545e-05
Gemmiger,L-Formylkynurenine,1.833545e-05
Glaesserella,L-Formylkynurenine,1.833545e-05
Gleimia,L-Formylkynurenine,1.833545e-05
Gluconacetobacter,L-Formylkynurenine,1.833545e-05
Granulibacter,L-Formylkynurenine,1.833545e-05
Hafnia,L-Formylkynurenine,1.833545e-05
Halococcus,L-Formylkynurenine,1.833545e-05
Halorhodospira,L-Formylkynurenine,1.833545e-05
Halothermothrix,L-Formylkynurenine,1.833545e-05
Halothiobacillus,L-Formylkynurenine,1.833545e-05
Heliobacterium,L-Formylkynurenine,1.833545e-05
Herminiimonas,L-Formylkynurenine,1.833545e-05
Hespellia,L-Formylkynurenine,1.833545e-05
Histophilus,L-Formylkynurenine,1.833545e-05
Holdemanella,L-Formylkynurenine,1.833545e-05
Holdemania,L-Formylkynurenine,1.833545e-05
Hydrogenoanaerobacterium,L-Formylkynurenine,1.833545e-05
Intestinibacillus,L-Formylkynurenine,1.833545e-05
Intestinibacter,L-Formylkynurenine,1.833545e-05
Intestinimonas,L-Formylkynurenine,1.833545e-05
Kallipyga,L-Formylkynurenine,1.833545e-05
Kandleria,L-Formylkynurenine,1.833545e-05
Kerstersia,L-Formylkynurenine,1.833545e-05
Kineococcus,L-Formylkynurenine,1.833545e-05
Kyrpidia,L-Formylkynurenine,1.833545e-05
Lachnobacterium,L-Formylkynurenine,1.833545e-05
Lactonifactor,L-Formylkynurenine,1.833545e-05
Lagierella,L-Formylkynurenine,1.833545e-05
Laribacter,L-Formylkynurenine,1.833545e-05
Lascolabacillus,L-Formylkynurenine,1.833545e-05
Lautropia,L-Formylkynurenine,1.833545e-05
Lawsonia,L-Formylkynurenine,1.833545e-05
Leadbetterella,L-Formylkynurenine,1.833545e-05
Leminorella,L-Formylkynurenine,1.833545e-05
Leptothrix,L-Formylkynurenine,1.833545e-05
Levyella,L-Formylkynurenine,1.833545e-05
Mageeibacillus,L-Formylkynurenine,1.833545e-05
Magnetococcus,L-Formylkynurenine,1.833545e-05
Mailhella,L-Formylkynurenine,1.833545e-05
Marvinbryantia,L-Formylkynurenine,1.833545e-05
Massilibacterium,L-Formylkynurenine,1.833545e-05
Massilimaliae,L-Formylkynurenine,1.833545e-05
Massilioclostridium,L-Formylkynurenine,1.833545e-05
Mediterranea,L-Formylkynurenine,1.833545e-05
Merdibacter,L-Formylkynurenine,1.833545e-05
Merdimonas,L-Formylkynurenine,1.833545e-05
Methanobrevibacter,L-Formylkynurenine,1.833545e-05
Methanomassiliicoccus,L-Formylkynurenine,1.833545e-05
Methanosphaera,L-Formylkynurenine,1.833545e-05
Methylibium,L-Formylkynurenine,1.833545e-05
Methylocella,L-Formylkynurenine,1.833545e-05
Methylococcus,L-Formylkynurenine,1.833545e-05
Methylorubrum,L-Formylkynurenine,1.833545e-05
Methylovorus,L-Formylkynurenine,1.833545e-05
Microcystis,L-Formylkynurenine,1.833545e-05
Microvirgula,L-Formylkynurenine,1.833545e-05
Millionella,L-Formylkynurenine,1.833545e-05
Mobilibacterium,L-Formylkynurenine,1.833545e-05
Moellerella,L-Formylkynurenine,1.833545e-05
Mogibacterium,L-Formylkynurenine,1.833545e-05
Murdochiella,L-Formylkynurenine,1.833545e-05
Nautilia,L-Formylkynurenine,1.833545e-05
Negativibacillus,L-Formylkynurenine,1.833545e-05
Negativicoccus,L-Formylkynurenine,1.833545e-05
Neglecta,L-Formylkynurenine,1.833545e-05
Neofamilia,L-Formylkynurenine,1.833545e-05
Nitrobacter,L-Formylkynurenine,1.833545e-05
Nitrososphaera,L-Formylkynurenine,1.833545e-05
Nosocomiicoccus,L-Formylkynurenine,1.833545e-05
Numidum,L-Formylkynurenine,1.833545e-05
Oligotropha,L-Formylkynurenine,1.833545e-05
Opitutus,L-Formylkynurenine,1.833545e-05
Paenarthrobacter,L-Formylkynurenine,1.833545e-05
Papillibacter,L-Formylkynurenine,1.833545e-05
Pararhodospirillum,L-Formylkynurenine,1.833545e-05
Parascardovia,L-Formylkynurenine,1.833545e-05
Parasutterella,L-Formylkynurenine,1.833545e-05
Pauljensenia,L-Formylkynurenine,1.833545e-05
Pectobacterium,L-Formylkynurenine,1.833545e-05
Pelistega,L-Formylkynurenine,1.833545e-05
Peptacetobacter,L-Formylkynurenine,1.833545e-05
Peptococcus,L-Formylkynurenine,1.833545e-05
Petrotoga,L-Formylkynurenine,1.833545e-05
Phascolarctobacterium,L-Formylkynurenine,1.833545e-05
Phenylobacterium,L-Formylkynurenine,1.833545e-05
Phocea,L-Formylkynurenine,1.833545e-05
Phoenicibacter,L-Formylkynurenine,1.833545e-05
Pirellula,L-Formylkynurenine,1.833545e-05
Piscicoccus,L-Formylkynurenine,1.833545e-05
Planctopirus,L-Formylkynurenine,1.833545e-05
Pragia,L-Formylkynurenine,1.833545e-05
Prochlorococcus,L-Formylkynurenine,1.833545e-05
Propionimicrobium,L-Formylkynurenine,1.833545e-05
Prosthecochloris,L-Formylkynurenine,1.833545e-05
Provencibacterium,L-Formylkynurenine,1.833545e-05
Pseudoflavonifractor,L-Formylkynurenine,1.833545e-05
Pseudopropionibacterium,L-Formylkynurenine,1.833545e-05
Pseudoramibacter,L-Formylkynurenine,1.833545e-05
Pyramidobacter,L-Formylkynurenine,1.833545e-05
Raoultella,L-Formylkynurenine,1.833545e-05
Renibacterium,L-Formylkynurenine,1.833545e-05
Reyranella,L-Formylkynurenine,1.833545e-05
Rhodospirillum,L-Formylkynurenine,1.833545e-05
Rikenella,L-Formylkynurenine,1.833545e-05
Risungbinella,L-Formylkynurenine,1.833545e-05
Robinsoniella,L-Formylkynurenine,1.833545e-05
Roseiflexus,L-Formylkynurenine,1.833545e-05
Rubeoparvulum,L-Formylkynurenine,1.833545e-05
Ruthenibacterium,L-Formylkynurenine,1.833545e-05
Saccharolobus,L-Formylkynurenine,1.833545e-05
Salinibacter,L-Formylkynurenine,1.833545e-05
Sanguibacteroides,L-Formylkynurenine,1.833545e-05
Schlesneria,L-Formylkynurenine,1.833545e-05
Sebaldella,L-Formylkynurenine,1.833545e-05
Sellimonas,L-Formylkynurenine,1.833545e-05
Senegalimassilia,L-Formylkynurenine,1.833545e-05
Shuttleworthia,L-Formylkynurenine,1.833545e-05
Sideroxydans,L-Formylkynurenine,1.833545e-05
Simonsiella,L-Formylkynurenine,1.833545e-05
Sorangium,L-Formylkynurenine,1.833545e-05
Sphaerobacter,L-Formylkynurenine,1.833545e-05
Stackebrandtia,L-Formylkynurenine,1.833545e-05
Starkeya,L-Formylkynurenine,1.833545e-05
Stomatobaculum,L-Formylkynurenine,1.833545e-05
Subdoligranulum,L-Formylkynurenine,1.833545e-05
Succinatimonas,L-Formylkynurenine,1.833545e-05
Symbiobacterium,L-Formylkynurenine,1.833545e-05
Synechococcus,L-Formylkynurenine,1.833545e-05
Synergistes,L-Formylkynurenine,1.833545e-05
Syntrophobacter,L-Formylkynurenine,1.833545e-05
Syntrophothermus,L-Formylkynurenine,1.833545e-05
Tannerella,L-Formylkynurenine,1.833545e-05
Teredinibacter,L-Formylkynurenine,1.833545e-05
Terrisporobacter,L-Formylkynurenine,1.833545e-05
Thalassobacillus,L-Formylkynurenine,1.833545e-05
Thermobaculum,L-Formylkynurenine,1.833545e-05
Thermobispora,L-Formylkynurenine,1.833545e-05
Thermomicrobium,L-Formylkynurenine,1.833545e-05
