Taxa,Metabolite,Potential Score
Fervidicola,L-Formylkynurenine,1.947033e-05
Fibrella,L-Formylkynurenine,1.947033e-05
Fibrisoma,L-Formylkynurenine,1.947033e-05
Filimonas,L-Formylkynurenine,1.947033e-05
Filomicrobium,L-Formylkynurenine,1.947033e-05
Fimbriiglobus,L-Formylkynurenine,1.947033e-05
Fimbriimonas,L-Formylkynurenine,1.947033e-05
Fischerella,L-Formylkynurenine,1.947033e-05
Flammeovirga,L-Formylkynurenine,1.947033e-05
Flavimobilis,L-Formylkynurenine,1.947033e-05
Flavisolibacter,L-Formylkynurenine,1.947033e-05
Flectobacillus,L-Formylkynurenine,1.947033e-05
Flexibacter,L-Formylkynurenine,1.947033e-05
Flexilinea,L-Formylkynurenine,1.947033e-05
Flexistipes,L-Formylkynurenine,1.947033e-05
Flexithrix,L-Formylkynurenine,1.947033e-05
Fluviicola,L-Formylkynurenine,1.947033e-05
Fodinicurvata,L-Formylkynurenine,1.947033e-05
Fontibacillus,L-Formylkynurenine,1.947033e-05
Formivibrio,L-Formylkynurenine,1.947033e-05
Fortiea,L-Formylkynurenine,1.947033e-05
Franconibacter,L-Formylkynurenine,1.947033e-05
Friedmanniella,L-Formylkynurenine,1.947033e-05
Frischella,L-Formylkynurenine,1.947033e-05
Fuerstia,L-Formylkynurenine,1.947033e-05
Galbibacter,L-Formylkynurenine,1.947033e-05
Gallaecimonas,L-Formylkynurenine,1.947033e-05
Gallionella,L-Formylkynurenine,1.947033e-05
Garciella,L-Formylkynurenine,1.947033e-05
Gayadomonas,L-Formylkynurenine,1.947033e-05
Gelidibacter,L-Formylkynurenine,1.947033e-05
Geminicoccus,L-Formylkynurenine,1.947033e-05
Geminisphaera,L-Formylkynurenine,1.947033e-05
Geminocystis,L-Formylkynurenine,1.947033e-05
Gemmata,L-Formylkynurenine,1.947033e-05
Geofilum,L-Formylkynurenine,1.947033e-05
Geopsychrobacter,L-Formylkynurenine,1.947033e-05
Geosporobacter,L-Formylkynurenine,1.947033e-05
Geothrix,L-Formylkynurenine,1.947033e-05
Geotoga,L-Formylkynurenine,1.947033e-05
Giesbergeria,L-Formylkynurenine,1.947033e-05
Gilliamella,L-Formylkynurenine,1.947033e-05
Gimesia,L-Formylkynurenine,1.947033e-05
Glaciibacter,L-Formylkynurenine,1.947033e-05
Globicatella,L-Formylkynurenine,1.947033e-05
Gorillibacterium,L-Formylkynurenine,1.947033e-05
Gracilimonas,L-Formylkynurenine,1.947033e-05
Granulicoccus,L-Formylkynurenine,1.947033e-05
Granulosicoccus,L-Formylkynurenine,1.947033e-05
Gryllotalpicola,L-Formylkynurenine,1.947033e-05
Gulbenkiania,L-Formylkynurenine,1.947033e-05
Gynuella,L-Formylkynurenine,1.947033e-05
Haematobacter,L-Formylkynurenine,1.947033e-05
Haematomicrobium,L-Formylkynurenine,1.947033e-05
Halalkalibacillus,L-Formylkynurenine,1.947033e-05
Halarsenatibacter,L-Formylkynurenine,1.947033e-05
Haliea,L-Formylkynurenine,1.947033e-05
Haliscomenobacter,L-Formylkynurenine,1.947033e-05
Haloactinobacterium,L-Formylkynurenine,1.947033e-05
Halobacteriovorax,L-Formylkynurenine,1.947033e-05
Halobacteroides,L-Formylkynurenine,1.947033e-05
Haloglycomyces,L-Formylkynurenine,1.947033e-05
Halomicronema,L-Formylkynurenine,1.947033e-05
Halonatronum,L-Formylkynurenine,1.947033e-05
Haloplasma,L-Formylkynurenine,1.947033e-05
Halotalea,L-Formylkynurenine,1.947033e-05
Halpernia,L-Formylkynurenine,1.947033e-05
Hamadaea,L-Formylkynurenine,1.947033e-05
Hathewaya,L-Formylkynurenine,1.947033e-05
Hellea,L-Formylkynurenine,1.947033e-05
Herpetosiphon,L-Formylkynurenine,1.947033e-05
Holophaga,L-Formylkynurenine,1.947033e-05
Holzapfelia,L-Formylkynurenine,1.947033e-05
Hugenholtzia,L-Formylkynurenine,1.947033e-05
Humibacter,L-Formylkynurenine,1.947033e-05
Hyalangium,L-Formylkynurenine,1.947033e-05
Hydrobacter,L-Formylkynurenine,1.947033e-05
Hydrogenibacillus,L-Formylkynurenine,1.947033e-05
Hylemonella,L-Formylkynurenine,1.947033e-05
Ideonella,L-Formylkynurenine,1.947033e-05
Idiomarina,L-Formylkynurenine,1.947033e-05
Ignatzschineria,L-Formylkynurenine,1.947033e-05
Ignavibacterium,L-Formylkynurenine,1.947033e-05
Ignavigranum,L-Formylkynurenine,1.947033e-05
Ileibacterium,L-Formylkynurenine,1.947033e-05
Ilyobacter,L-Formylkynurenine,1.947033e-05
Imhoffiella,L-Formylkynurenine,1.947033e-05
Immundisolibacter,L-Formylkynurenine,1.947033e-05
Indibacter,L-Formylkynurenine,1.947033e-05
Insolitispirillum,L-Formylkynurenine,1.947033e-05
Isobaculum,L-Formylkynurenine,1.947033e-05
Isosphaera,L-Formylkynurenine,1.947033e-05
Izhakiella,L-Formylkynurenine,1.947033e-05
Janthinobacterium,L-Formylkynurenine,1.947033e-05
Jatrophihabitans,L-Formylkynurenine,1.947033e-05
Jejuia,L-Formylkynurenine,1.947033e-05
Jeotgalibaca,L-Formylkynurenine,1.947033e-05
Johnsonella,L-Formylkynurenine,1.947033e-05
Jonquetella,L-Formylkynurenine,1.947033e-05
Joostella,L-Formylkynurenine,1.947033e-05
Kamptonema,L-Formylkynurenine,1.947033e-05
Kineosphaera,L-Formylkynurenine,1.947033e-05
Kiritimatiella,L-Formylkynurenine,1.947033e-05
Kozakia,L-Formylkynurenine,1.947033e-05
Krasilnikoviella,L-Formylkynurenine,1.947033e-05
Kribbia,L-Formylkynurenine,1.947033e-05
Kriegella,L-Formylkynurenine,1.947033e-05
Kroppenstedtia,L-Formylkynurenine,1.947033e-05
Ktedonobacter,L-Formylkynurenine,1.947033e-05
Kutzneria,L-Formylkynurenine,1.947033e-05
Labilibacter,L-Formylkynurenine,1.947033e-05
Lacimicrobium,L-Formylkynurenine,1.947033e-05
Lacticigenium,L-Formylkynurenine,1.947033e-05
Lacunisphaera,L-Formylkynurenine,1.947033e-05
Lamprocystis,L-Formylkynurenine,1.947033e-05
Lawsonella,L-Formylkynurenine,1.947033e-05
Leeia,L-Formylkynurenine,1.947033e-05
Lentibacter,L-Formylkynurenine,1.947033e-05
Lentimicrobium,L-Formylkynurenine,1.947033e-05
Leptolinea,L-Formylkynurenine,1.947033e-05
Leptonema,L-Formylkynurenine,1.947033e-05
Leucothrix,L-Formylkynurenine,1.947033e-05
Levilinea,L-Formylkynurenine,1.947033e-05
Liberibacter,L-Formylkynurenine,1.947033e-05
Lihuaxuella,L-Formylkynurenine,1.947033e-05
Limimonas,L-Formylkynurenine,1.947033e-05
Limnochorda,L-Formylkynurenine,1.947033e-05
Limnohabitans,L-Formylkynurenine,1.947033e-05
Limnoraphis,L-Formylkynurenine,1.947033e-05
Litorimicrobium,L-Formylkynurenine,1.947033e-05
Longilinea,L-Formylkynurenine,1.947033e-05
Longispora,L-Formylkynurenine,1.947033e-05
Lonsdalea,L-Formylkynurenine,1.947033e-05
Luminiphilus,L-Formylkynurenine,1.947033e-05
Lunatimonas,L-Formylkynurenine,1.947033e-05
Luteibacter,L-Formylkynurenine,1.947033e-05
Lutibaculum,L-Formylkynurenine,1.947033e-05
Lutimaribacter,L-Formylkynurenine,1.947033e-05
Lutispora,L-Formylkynurenine,1.947033e-05
Macrococcus,L-Formylkynurenine,1.947033e-05
Mahella,L-Formylkynurenine,1.947033e-05
Malaciobacter,L-Formylkynurenine,1.947033e-05
Maledivibacter,L-Formylkynurenine,1.947033e-05
Malonomonas,L-Formylkynurenine,1.947033e-05
Mameliella,L-Formylkynurenine,1.947033e-05
Mangrovibacter,L-Formylkynurenine,1.947033e-05
Mannheimia,L-Formylkynurenine,1.947033e-05
Maribacter,L-Formylkynurenine,1.947033e-05
Maribius,L-Formylkynurenine,1.947033e-05
Maricaulis,L-Formylkynurenine,1.947033e-05
Marichromatium,L-Formylkynurenine,1.947033e-05
Marinactinospora,L-Formylkynurenine,1.947033e-05
Marinibacterium,L-Formylkynurenine,1.947033e-05
Mariniblastus,L-Formylkynurenine,1.947033e-05
Marinifilum,L-Formylkynurenine,1.947033e-05
Marinilabilia,L-Formylkynurenine,1.947033e-05
Marinimicrobium,L-Formylkynurenine,1.947033e-05
Mariniphaga,L-Formylkynurenine,1.947033e-05
Mariniradius,L-Formylkynurenine,1.947033e-05
Marinithermus,L-Formylkynurenine,1.947033e-05
Marinococcus,L-Formylkynurenine,1.947033e-05
Marinovum,L-Formylkynurenine,1.947033e-05
Marisediminitalea,L-Formylkynurenine,1.947033e-05
Maritalea,L-Formylkynurenine,1.947033e-05
Maritimibacter,L-Formylkynurenine,1.947033e-05
Marivirga,L-Formylkynurenine,1.947033e-05
Mastigocladopsis,L-Formylkynurenine,1.947033e-05
Mastigocladus,L-Formylkynurenine,1.947033e-05
Mastigocoleus,L-Formylkynurenine,1.947033e-05
Melaminivora,L-Formylkynurenine,1.947033e-05
Melghirimyces,L-Formylkynurenine,1.947033e-05
Melioribacter,L-Formylkynurenine,1.947033e-05
Melissococcus,L-Formylkynurenine,1.947033e-05
Mesoaciditoga,L-Formylkynurenine,1.947033e-05
Mesoflavibacter,L-Formylkynurenine,1.947033e-05
Mesonia,L-Formylkynurenine,1.947033e-05
Mesotoga,L-Formylkynurenine,1.947033e-05
Methylobrevis,L-Formylkynurenine,1.947033e-05
Methylocaldum,L-Formylkynurenine,1.947033e-05
Methylocapsa,L-Formylkynurenine,1.947033e-05
Methyloceanibacter,L-Formylkynurenine,1.947033e-05
Methyloferula,L-Formylkynurenine,1.947033e-05
Methyloglobulus,L-Formylkynurenine,1.947033e-05
Methylohalobius,L-Formylkynurenine,1.947033e-05
Methyloligella,L-Formylkynurenine,1.947033e-05
Methylomarinum,L-Formylkynurenine,1.947033e-05
Methyloprofundus,L-Formylkynurenine,1.947033e-05
Methylosarcina,L-Formylkynurenine,1.947033e-05
Methylosinus,L-Formylkynurenine,1.947033e-05
Methylovulum,L-Formylkynurenine,1.947033e-05
Microbispora,L-Formylkynurenine,1.947033e-05
Microscilla,L-Formylkynurenine,1.947033e-05
Microterricola,L-Formylkynurenine,1.947033e-05
Millisia,L-Formylkynurenine,1.947033e-05
Mitsuaria,L-Formylkynurenine,1.947033e-05
Mizugakiibacter,L-Formylkynurenine,1.947033e-05
Mobilicoccus,L-Formylkynurenine,1.947033e-05
Moheibacter,L-Formylkynurenine,1.947033e-05
Moorea,L-Formylkynurenine,1.947033e-05
Mucinivorans,L-Formylkynurenine,1.947033e-05
Mucispirillum,L-Formylkynurenine,1.947033e-05
Muribacter,L-Formylkynurenine,1.947033e-05
Mycetohabitans,L-Formylkynurenine,1.947033e-05
Natribacillus,L-Formylkynurenine,1.947033e-05
Natronohydrobacter,L-Formylkynurenine,1.947033e-05
Ndongobacter,L-Formylkynurenine,1.947033e-05
Necropsobacter,L-Formylkynurenine,1.947033e-05
Neoasaia,L-Formylkynurenine,1.947033e-05
Neokomagataea,L-Formylkynurenine,1.947033e-05
Neomegalonema,L-Formylkynurenine,1.947033e-05
Neomicrococcus,L-Formylkynurenine,1.947033e-05
Neorhizobium,L-Formylkynurenine,1.947033e-05
Nereida,L-Formylkynurenine,1.947033e-05
Nesiotobacter,L-Formylkynurenine,1.947033e-05
Niameybacter,L-Formylkynurenine,1.947033e-05
Nigerium,L-Formylkynurenine,1.947033e-05
Nisaea,L-Formylkynurenine,1.947033e-05
Nissabacter,L-Formylkynurenine,1.947033e-05
Nitratifractor,L-Formylkynurenine,1.947033e-05
Nitriliruptor,L-Formylkynurenine,1.947033e-05
Nitrococcus,L-Formylkynurenine,1.947033e-05
Nitrolancea,L-Formylkynurenine,1.947033e-05
Nitrosovibrio,L-Formylkynurenine,1.947033e-05
Nitrospina,L-Formylkynurenine,1.947033e-05
Nitrospirillum,L-Formylkynurenine,1.947033e-05
Niveispirillum,L-Formylkynurenine,1.947033e-05
Nodosilinea,L-Formylkynurenine,1.947033e-05
Nodularia,L-Formylkynurenine,1.947033e-05
Novibacillus,L-Formylkynurenine,1.947033e-05
Novispirillum,L-Formylkynurenine,1.947033e-05
Novosphingopyxis,L-Formylkynurenine,1.947033e-05
Obesumbacterium,L-Formylkynurenine,1.947033e-05
Oblitimonas,L-Formylkynurenine,1.947033e-05
Occidentia,L-Formylkynurenine,1.947033e-05
Oceanibacterium,L-Formylkynurenine,1.947033e-05
Oceanicella,L-Formylkynurenine,1.947033e-05
Oceanicoccus,L-Formylkynurenine,1.947033e-05
Oceanimonas,L-Formylkynurenine,1.947033e-05
Oceaniovalibus,L-Formylkynurenine,1.947033e-05
Oceanithermus,L-Formylkynurenine,1.947033e-05
Oceanivirga,L-Formylkynurenine,1.947033e-05
Oceanobacter,L-Formylkynurenine,1.947033e-05
Oceanococcus,L-Formylkynurenine,1.947033e-05
Oerskovia,L-Formylkynurenine,1.947033e-05
Ohtaekwangia,L-Formylkynurenine,1.947033e-05
Okibacterium,L-Formylkynurenine,1.947033e-05
Olegusella,L-Formylkynurenine,1.947033e-05
Oleibacter,L-Formylkynurenine,1.947033e-05
Oleiphilus,L-Formylkynurenine,1.947033e-05
Oleispira,L-Formylkynurenine,1.947033e-05
Olleya,L-Formylkynurenine,1.947033e-05
Orientia,L-Formylkynurenine,1.947033e-05
Ornatilinea,L-Formylkynurenine,1.947033e-05
Ornithinimicrobium,L-Formylkynurenine,1.947033e-05
Ornithobacterium,L-Formylkynurenine,1.947033e-05
Orrella,L-Formylkynurenine,1.947033e-05
Oscillochloris,L-Formylkynurenine,1.947033e-05
Ottowia,L-Formylkynurenine,1.947033e-05
Oxobacter,L-Formylkynurenine,1.947033e-05
Pacificibacter,L-Formylkynurenine,1.947033e-05
Paenalcaligenes,L-Formylkynurenine,1.947033e-05
Paenirhodobacter,L-Formylkynurenine,1.947033e-05
Pajaroellobacter,L-Formylkynurenine,1.947033e-05
Palleronia,L-Formylkynurenine,1.947033e-05
Paludibacter,L-Formylkynurenine,1.947033e-05
Paludibacterium,L-Formylkynurenine,1.947033e-05
Paludisphaera,L-Formylkynurenine,1.947033e-05
Pannonibacter,L-Formylkynurenine,1.947033e-05
Parachlamydia,L-Formylkynurenine,1.947033e-05
Paramaledivibacter,L-Formylkynurenine,1.947033e-05
Paramesorhizobium,L-Formylkynurenine,1.947033e-05
Paraoerskovia,L-Formylkynurenine,1.947033e-05
Pararheinheimera,L-Formylkynurenine,1.947033e-05
Parasaccharibacter,L-Formylkynurenine,1.947033e-05
Parolsenella,L-Formylkynurenine,1.947033e-05
Paucisalibacillus,L-Formylkynurenine,1.947033e-05
Pedosphaera,L-Formylkynurenine,1.947033e-05
Pelagerythrobacter,L-Formylkynurenine,1.947033e-05
Pelagibaca,L-Formylkynurenine,1.947033e-05
Pelagicola,L-Formylkynurenine,1.947033e-05
Pelagirhabdus,L-Formylkynurenine,1.947033e-05
Pelomonas,L-Formylkynurenine,1.947033e-05
Pelosinus,L-Formylkynurenine,1.947033e-05
Petrimonas,L-Formylkynurenine,1.947033e-05
Phaeodactylibacter,L-Formylkynurenine,1.947033e-05
Phaseolibacter,L-Formylkynurenine,1.947033e-05
Phormidesmis,L-Formylkynurenine,1.947033e-05
Photorhabdus,L-Formylkynurenine,1.947033e-05
Phycisphaera,L-Formylkynurenine,1.947033e-05
Pilibacter,L-Formylkynurenine,1.947033e-05
Piscibacillus,L-Formylkynurenine,1.947033e-05
Planctomicrobium,L-Formylkynurenine,1.947033e-05
Planifilum,L-Formylkynurenine,1.947033e-05
Planktomarina,L-Formylkynurenine,1.947033e-05
Planktotalea,L-Formylkynurenine,1.947033e-05
Planobispora,L-Formylkynurenine,1.947033e-05
Planomonospora,L-Formylkynurenine,1.947033e-05
Plantibacter,L-Formylkynurenine,1.947033e-05
Plesiocystis,L-Formylkynurenine,1.947033e-05
Pleurocapsa,L-Formylkynurenine,1.947033e-05
Polymorphum,L-Formylkynurenine,1.947033e-05
Pontibaca,L-Formylkynurenine,1.947033e-05
Poseidonibacter,L-Formylkynurenine,1.947033e-05
Pricia,L-Formylkynurenine,1.947033e-05
Prochlorothrix,L-Formylkynurenine,1.947033e-05
Prolixibacter,L-Formylkynurenine,1.947033e-05
Promicromonospora,L-Formylkynurenine,1.947033e-05
Propionicicella,L-Formylkynurenine,1.947033e-05
Propionispira,L-Formylkynurenine,1.947033e-05
Propionispora,L-Formylkynurenine,1.947033e-05
Propionivibrio,L-Formylkynurenine,1.947033e-05
Prosthecobacter,L-Formylkynurenine,1.947033e-05
Prosthecomicrobium,L-Formylkynurenine,1.947033e-05
Proteiniborus,L-Formylkynurenine,1.947033e-05
Proteiniclasticum,L-Formylkynurenine,1.947033e-05
Proteiniphilum,L-Formylkynurenine,1.947033e-05
Proteocatella,L-Formylkynurenine,1.947033e-05
Pseudacidovorax,L-Formylkynurenine,1.947033e-05
Pseudaestuariivita,L-Formylkynurenine,1.947033e-05
Pseudanabaena,L-Formylkynurenine,1.947033e-05
Pseudarcicella,L-Formylkynurenine,1.947033e-05
Pseudescherichia,L-Formylkynurenine,1.947033e-05
Pseudobacteroides,L-Formylkynurenine,1.947033e-05
Pseudobutyrivibrio,L-Formylkynurenine,1.947033e-05
Pseudodonghicola,L-Formylkynurenine,1.947033e-05
Pseudoduganella,L-Formylkynurenine,1.947033e-05
Pseudoglutamicibacter,L-Formylkynurenine,1.947033e-05
Pseudogulbenkiania,L-Formylkynurenine,1.947033e-05
Pseudohaliea,L-Formylkynurenine,1.947033e-05
Pseudohongiella,L-Formylkynurenine,1.947033e-05
Pseudoleptotrichia,L-Formylkynurenine,1.947033e-05
Pseudooctadecabacter,L-Formylkynurenine,1.947033e-05
Pseudopedobacter,L-Formylkynurenine,1.947033e-05
Pseudorhizobium,L-Formylkynurenine,1.947033e-05
Pseudorhodoplanes,L-Formylkynurenine,1.947033e-05
Pseudospirillum,L-Formylkynurenine,1.947033e-05
Pseudoxanthobacter,L-Formylkynurenine,1.947033e-05
Psychrilyobacter,L-Formylkynurenine,1.947033e-05
Psychroserpens,L-Formylkynurenine,1.947033e-05
Puniceibacterium,L-Formylkynurenine,1.947033e-05
Pusillimonas,L-Formylkynurenine,1.947033e-05
Pustulibacterium,L-Formylkynurenine,1.947033e-05
Pyrinomonas,L-Formylkynurenine,1.947033e-05
Quasibacillus,L-Formylkynurenine,1.947033e-05
Rahnella,L-Formylkynurenine,1.947033e-05
Raineyella,L-Formylkynurenine,1.947033e-05
Rappaport,L-Formylkynurenine,1.947033e-05
Reinekea,L-Formylkynurenine,1.947033e-05
Rhizobacter,L-Formylkynurenine,1.947033e-05
Rhodobaca,L-Formylkynurenine,1.947033e-05
Rhodoblastus,L-Formylkynurenine,1.947033e-05
Rhodohalobacter,L-Formylkynurenine,1.947033e-05
Rhodoluna,L-Formylkynurenine,1.947033e-05
Rhodonellum,L-Formylkynurenine,1.947033e-05
Rhodospira,L-Formylkynurenine,1.947033e-05
Rhodovibrio,L-Formylkynurenine,1.947033e-05
Rickettsia,L-Formylkynurenine,1.947033e-05
Riemerella,L-Formylkynurenine,1.947033e-05
Robbsia,L-Formylkynurenine,1.947033e-05
Robiginitomaculum,L-Formylkynurenine,1.947033e-05
Roseateles,L-Formylkynurenine,1.947033e-05
Roseibaca,L-Formylkynurenine,1.947033e-05
Roseibacterium,L-Formylkynurenine,1.947033e-05
Roseicitreum,L-Formylkynurenine,1.947033e-05
Roseimaritima,L-Formylkynurenine,1.947033e-05
Roseinatronobacter,L-Formylkynurenine,1.947033e-05
Roseisalinus,L-Formylkynurenine,1.947033e-05
Rosenbergiella,L-Formylkynurenine,1.947033e-05
Roseospirillum,L-Formylkynurenine,1.947033e-05
Rouxiella,L-Formylkynurenine,1.947033e-05
Ruania,L-Formylkynurenine,1.947033e-05
Rubinisphaera,L-Formylkynurenine,1.947033e-05
Rubrimonas,L-Formylkynurenine,1.947033e-05
Rubripirellula,L-Formylkynurenine,1.947033e-05
Rubritalea,L-Formylkynurenine,1.947033e-05
Rubritepida,L-Formylkynurenine,1.947033e-05
Rubrivivax,L-Formylkynurenine,1.947033e-05
Rudaea,L-Formylkynurenine,1.947033e-05
Rugamonas,L-Formylkynurenine,1.947033e-05
Ruminobacter,L-Formylkynurenine,1.947033e-05
Rummeliibacillus,L-Formylkynurenine,1.947033e-05
Saccharibacter,L-Formylkynurenine,1.947033e-05
Saccharicrinis,L-Formylkynurenine,1.947033e-05
Saccharospirillum,L-Formylkynurenine,1.947033e-05
Sagittula,L-Formylkynurenine,1.947033e-05
Salimicrobium,L-Formylkynurenine,1.947033e-05
Salinarimonas,L-Formylkynurenine,1.947033e-05
Salinibacillus,L-Formylkynurenine,1.947033e-05
Salinicola,L-Formylkynurenine,1.947033e-05
Salinihabitans,L-Formylkynurenine,1.947033e-05
Salinimonas,L-Formylkynurenine,1.947033e-05
Salinispira,L-Formylkynurenine,1.947033e-05
Salinivirga,L-Formylkynurenine,1.947033e-05
Salisaeta,L-Formylkynurenine,1.947033e-05
Salisediminibacterium,L-Formylkynurenine,1.947033e-05
Salsuginibacillus,L-Formylkynurenine,1.947033e-05
Sandaracinus,L-Formylkynurenine,1.947033e-05
Saprospira,L-Formylkynurenine,1.947033e-05
Schleiferia,L-Formylkynurenine,1.947033e-05
Schnuerera,L-Formylkynurenine,1.947033e-05
Sciscionella,L-Formylkynurenine,1.947033e-05
Sedimentitalea,L-Formylkynurenine,1.947033e-05
Sediminimonas,L-Formylkynurenine,1.947033e-05
Sediminispirochaeta,L-Formylkynurenine,1.947033e-05
Segetibacter,L-Formylkynurenine,1.947033e-05
Seinonella,L-Formylkynurenine,1.947033e-05
Selenihalanaerobacter,L-Formylkynurenine,1.947033e-05
Sharpea,L-Formylkynurenine,1.947033e-05
Shimazuella,L-Formylkynurenine,1.947033e-05
Shimwellia,L-Formylkynurenine,1.947033e-05
Siccibacter,L-Formylkynurenine,1.947033e-05
Silvibacterium,L-Formylkynurenine,1.947033e-05
Simiduia,L-Formylkynurenine,1.947033e-05
Simkania,L-Formylkynurenine,1.947033e-05
Simplicispira,L-Formylkynurenine,1.947033e-05
Singulisphaera,L-Formylkynurenine,1.947033e-05
Sinomicrobium,L-Formylkynurenine,1.947033e-05
Sinosporangium,L-Formylkynurenine,1.947033e-05
Siphonobacter,L-Formylkynurenine,1.947033e-05
Skermania,L-Formylkynurenine,1.947033e-05
Smaragdicoccus,L-Formylkynurenine,1.947033e-05
Sneathiella,L-Formylkynurenine,1.947033e-05
Snodgrassella,L-Formylkynurenine,1.947033e-05
Sodalis,L-Formylkynurenine,1.947033e-05
Solibacillus,L-Formylkynurenine,1.947033e-05
Solirubrobacter,L-Formylkynurenine,1.947033e-05
Solirubrum,L-Formylkynurenine,1.947033e-05
Solitalea,L-Formylkynurenine,1.947033e-05
Soonwooa,L-Formylkynurenine,1.947033e-05
Sphaerotilus,L-Formylkynurenine,1.947033e-05
Spirillospora,L-Formylkynurenine,1.947033e-05
Spiroplasma,L-Formylkynurenine,1.947033e-05
Spongiibacter,L-Formylkynurenine,1.947033e-05
Sporanaerobacter,L-Formylkynurenine,1.947033e-05
Sporichthya,L-Formylkynurenine,1.947033e-05
Sporobacter,L-Formylkynurenine,1.947033e-05
Sporocytophaga,L-Formylkynurenine,1.947033e-05
Stanieria,L-Formylkynurenine,1.947033e-05
Stenoxybacter,L-Formylkynurenine,1.947033e-05
Stigmatella,L-Formylkynurenine,1.947033e-05
Streptoalloteichus,L-Formylkynurenine,1.947033e-05
Streptomonospora,L-Formylkynurenine,1.947033e-05
Succiniclasticum,L-Formylkynurenine,1.947033e-05
Succinimonas,L-Formylkynurenine,1.947033e-05
Succinispira,L-Formylkynurenine,1.947033e-05
Sulfobacillus,L-Formylkynurenine,1.947033e-05
Sulfuricurvum,L-Formylkynurenine,1.947033e-05
Sulfuritalea,L-Formylkynurenine,1.947033e-05
Sulfurivirga,L-Formylkynurenine,1.947033e-05
Syntrophaceticus,L-Formylkynurenine,1.947033e-05
Syntrophobotulus,L-Formylkynurenine,1.947033e-05
Syntrophorhabdus,L-Formylkynurenine,1.947033e-05
Tamlana,L-Formylkynurenine,1.947033e-05
Tangfeifania,L-Formylkynurenine,1.947033e-05
Tanticharoenia,L-Formylkynurenine,1.947033e-05
Tardiphaga,L-Formylkynurenine,1.947033e-05
Tateyamaria,L-Formylkynurenine,1.947033e-05
Tatlockia,L-Formylkynurenine,1.947033e-05
Tenuibacillus,L-Formylkynurenine,1.947033e-05
Tepidibacillus,L-Formylkynurenine,1.947033e-05
Tepidicaulis,L-Formylkynurenine,1.947033e-05
Tepidimicrobium,L-Formylkynurenine,1.947033e-05
Tepidiphilus,L-Formylkynurenine,1.947033e-05
Terasakiella,L-Formylkynurenine,1.947033e-05
Terasakiispira,L-Formylkynurenine,1.947033e-05
Terracidiphilus,L-Formylkynurenine,1.947033e-05
Terrimicrobium,L-Formylkynurenine,1.947033e-05
Terrimonas,L-Formylkynurenine,1.947033e-05
Tersicoccus,L-Formylkynurenine,1.947033e-05
Thalassobacter,L-Formylkynurenine,1.947033e-05
Thalassobaculum,L-Formylkynurenine,1.947033e-05
Thalassolituus,L-Formylkynurenine,1.947033e-05
Thalassomonas,L-Formylkynurenine,1.947033e-05
Thalassotalea,L-Formylkynurenine,1.947033e-05
Thaumasiovibrio,L-Formylkynurenine,1.947033e-05
Thermacetogenium,L-Formylkynurenine,1.947033e-05
Thermanaeromonas,L-Formylkynurenine,1.947033e-05
Thermanaerothrix,L-Formylkynurenine,1.947033e-05
Thermicanus,L-Formylkynurenine,1.947033e-05
Thermincola,L-Formylkynurenine,1.947033e-05
Thermithiobacillus,L-Formylkynurenine,1.947033e-05
Thermoactinospora,L-Formylkynurenine,1.947033e-05
Thermoanaerobaculum,L-Formylkynurenine,1.947033e-05
Thermobacillus,L-Formylkynurenine,1.947033e-05
Thermobrachium,L-Formylkynurenine,1.947033e-05
Thermoclostridium,L-Formylkynurenine,1.947033e-05
Thermodesulfobium,L-Formylkynurenine,1.947033e-05
Thermodesulforhabdus,L-Formylkynurenine,1.947033e-05
Thermoflavimicrobium,L-Formylkynurenine,1.947033e-05
Thermoflexus,L-Formylkynurenine,1.947033e-05
Thermoleophilum,L-Formylkynurenine,1.947033e-05
Thermonema,L-Formylkynurenine,1.947033e-05
Thermorudis,L-Formylkynurenine,1.947033e-05
Thermosediminibacter,L-Formylkynurenine,1.947033e-05
Thermosinus,L-Formylkynurenine,1.947033e-05
Thermostaphylospora,L-Formylkynurenine,1.947033e-05
Thermosulfidibacter,L-Formylkynurenine,1.947033e-05
Thermosulfurimonas,L-Formylkynurenine,1.947033e-05
Thermosyntropha,L-Formylkynurenine,1.947033e-05
Thermotalea,L-Formylkynurenine,1.947033e-05
Thermovenabulum,L-Formylkynurenine,1.947033e-05
Thermovirga,L-Formylkynurenine,1.947033e-05
Thiocapsa,L-Formylkynurenine,1.947033e-05
Thiocystis,L-Formylkynurenine,1.947033e-05
Thiofilum,L-Formylkynurenine,1.947033e-05
Thioflavicoccus,L-Formylkynurenine,1.947033e-05
Thioflexothrix,L-Formylkynurenine,1.947033e-05
Thiohalomonas,L-Formylkynurenine,1.947033e-05
Thiohalorhabdus,L-Formylkynurenine,1.947033e-05
Thiohalospira,L-Formylkynurenine,1.947033e-05
Thiolapillus,L-Formylkynurenine,1.947033e-05
Thiolinea,L-Formylkynurenine,1.947033e-05
Thiomonas,L-Formylkynurenine,1.947033e-05
Thioploca,L-Formylkynurenine,1.947033e-05
Thiorhodococcus,L-Formylkynurenine,1.947033e-05
Thiorhodospira,L-Formylkynurenine,1.947033e-05
Thorsellia,L-Formylkynurenine,1.947033e-05
Tindallia,L-Formylkynurenine,1.947033e-05
Tistlia,L-Formylkynurenine,1.947033e-05
