loaded_uid	ncbi_taxon_id	taxon_rank_level	relative_abundance	scientific_name
35733.0	1548510	genus	0.00586029	Microbacter
35733.0	846	genus	0.00586029	Oxalobacter
35733.0	1350	genus	0.00586029	Enterococcus
35733.0	209	genus	0.00586029	Helicobacter
	-1	genus	11.9081	Unknown
35734.0	816	genus	21.8589	Bacteroides
35734.0	581	genus	6.54642	Morganella
35734.0	286	genus	4.26471	Pseudomonas
35734.0	572511	genus	2.47932	Blautia
35734.0	586	genus	2.41498	Providencia
35734.0	216851	genus	1.83134	Faecalibacterium
35734.0	39948	genus	1.36489	Dialister
35734.0	841	genus	1.30744	Roseburia
35734.0	1506553	genus	0.680147	Lachnoclostridium
35734.0	583	genus	0.592831	Proteus
35734.0	1386	genus	0.409007	Bacillus
35734.0	1505663	genus	0.314798	Erysipelatoclostridium
35734.0	838	genus	0.307904	Prevotella
35734.0	1678	genus	0.278033	Bifidobacterium
35734.0	157920	genus	0.238971	Cellulosimicrobium
35734.0	1730	genus	0.190717	Eubacterium
35734.0	724	genus	0.174632	Haemophilus
35734.0	642	genus	0.170037	Aeromonas
35734.0	100883	genus	0.137868	Coprobacillus
35734.0	1485	genus	0.126379	Clostridium
35734.0	1301	genus	0.119485	Streptococcus
35734.0	590	genus	0.089614	Salmonella
35734.0	1350	genus	0.0804228	Enterococcus
35734.0	338	genus	0.0758272	Xanthomonas
35734.0	653683	genus	0.0712316	Anaerosporobacter
35734.0	1263	genus	0.0712316	Ruminococcus
35734.0	1827	genus	0.0551471	Rhodococcus
35734.0	44249	genus	0.0505515	Paenibacillus
35734.0	207244	genus	0.0505515	Anaerostipes
35734.0	1716	genus	0.0436581	Corynebacterium
35734.0	29465	genus	0.0390625	Veillonella
35734.0	1508657	genus	0.0390625	Ruminiclostridium
35734.0	413496	genus	0.0390625	Cronobacter
35734.0	561	genus	0.0367647	Escherichia
35734.0	1696	genus	0.0298713	Brevibacterium
35734.0	1742989	genus	0.0252757	Glutamicibacter
35734.0	1505657	genus	0.0252757	Intestinibacter
35734.0	620	genus	0.0252757	Shigella
35734.0	469	genus	0.0229779	Acinetobacter
35734.0	1578	genus	0.0183824	Lactobacillus
35734.0	1357	genus	0.0183824	Lactococcus
35734.0	872	genus	0.0160846	Desulfovibrio
35734.0	84034	genus	0.0137868	Propionispira
35734.0	2737	genus	0.0137868	Vagococcus
35734.0	1573536	genus	0.011489	Faecalicoccus
35734.0	82802	genus	0.011489	Trichococcus
35734.0	182709	genus	0.00919118	Oceanobacillus
35734.0	224465	genus	0.00919118	Kofleria
35734.0	117563	genus	0.00689338	Granulicatella
35734.0	375288	genus	0.00689338	Parabacteroides
35734.0	704093	genus	0.00689338	Anaerobacillus
35734.0	239934	genus	0.00689338	Akkermansia
35734.0	244127	genus	0.00689338	Anaerotruncus
35734.0	637	genus	0.00689338	Arsenophonus
35734.0	544	genus	0.00459559	Citrobacter
35734.0	239759	genus	0.00459559	Alistipes
35734.0	459786	genus	0.00459559	Oscillibacter
35734.0	32207	genus	0.00459559	Rothia
35734.0	332248	genus	0.00459559	Truepera
35734.0	61170	genus	0.00459559	Holdemania
35734.0	60919	genus	0.00459559	Sanguibacter
35734.0	670486	genus	0.00459559	Dehalogenimonas
35734.0	2299	genus	0.00459559	Desulfosarcina
35734.0	1134403	genus	0.00229779	Melioribacter
35734.0	40222	genus	0.00229779	Methylophaga
35734.0	379899	genus	0.00229779	Niabella
35734.0	314318	genus	0.00229779	Prolixibacter
35734.0	998014	genus	0.00229779	Cocleimonas
35734.0	233191	genus	0.00229779	Caldilinea
35734.0	626	genus	0.00229779	Xenorhabdus
35734.0	135575	genus	0.00229779	Idiomarina
35734.0	1279388	genus	0.00229779	Kandleria
35734.0	2152	genus	0.00229779	Asteroleplasma
35734.0	283	genus	0.00229779	Comamonas
35734.0	44262	genus	0.00229779	Oxalophagus
35734.0	1817	genus	0.00229779	Nocardia
35734.0	1843210	genus	0.00229779	Anaerocolumna
35734.0	497	genus	0.00229779	Psychrobacter
35734.0	106633	genus	0.00229779	Thioalkalivibrio
35734.0	2745	genus	0.00229779	Halomonas
35734.0	47670	genus	0.00229779	Lautropia
35734.0	1565532	genus	0.00229779	Rouxiella
35734.0	40323	genus	0.00229779	Stenotrophomonas
35734.0	1279	genus	0.00229779	Staphylococcus
35734.0	32199	genus	0.00229779	Buchnera
35734.0	37914	genus	0.00229779	Dietzia
35734.0	450803	genus	0.00229779	Oceaniserpentilla
35734.0	48075	genus	0.00229779	Marinobacterium
35734.0	2747	genus	0.00229779	Carnobacterium
35734.0	776	genus	0.00229779	Coxiella
35734.0	429	genus	0.00229779	Methylobacter
35734.0	61434	genus	0.00229779	Dehalococcoides
35734.0	2742	genus	0.00229779	Marinobacter
35734.0	666508	genus	0.00229779	Phycisphaera
35734.0	180541	genus	0.00229779	Salinisphaera
35734.0	55968	genus	0.00229779	Leucobacter
35734.0	46255	genus	0.00229779	Weissella
	-1	genus	52.971	Unknown
35735.0	816	genus	22.4475	Bacteroides
35735.0	216851	genus	10.5023	Faecalibacterium
35735.0	286	genus	10.0581	Pseudomonas
35735.0	239759	genus	4.3475	Alistipes
35735.0	1508657	genus	3.88807	Ruminiclostridium
35735.0	1730	genus	2.09971	Eubacterium
35735.0	572511	genus	1.86809	Blautia
35735.0	1263	genus	1.04416	Ruminococcus
35735.0	459786	genus	0.994798	Oscillibacter
35735.0	375288	genus	0.922656	Parabacteroides
35735.0	244127	genus	0.823936	Anaerotruncus
35735.0	1279388	genus	0.721419	Kandleria
35735.0	904	genus	0.675855	Acidaminococcus
35735.0	1505663	genus	0.55815	Erysipelatoclostridium
35735.0	1485	genus	0.368303	Clostridium
35735.0	239934	genus	0.360709	Akkermansia
35735.0	33042	genus	0.296161	Coprococcus
35735.0	253238	genus	0.28477	Ethanoligenens
35735.0	1506553	genus	0.250598	Lachnoclostridium
35735.0	283168	genus	0.220223	Odoribacter
35735.0	207244	genus	0.167065	Anaerostipes
35735.0	189330	genus	0.148081	Dorea
