ncbi_taxon_id	taxon_rank_level	scientific_name	numRunsWhereFound	meanRelAdun	medianRelAdun	SDRelAdun
1463889	species	Streptomyces sp. NRRL S-1824	2	0.011330715	0.011330715	0.010304504487671885
986	species	Flavobacterium johnsoniae	5	0.13937664	0.0141416	0.24209326588000915
397278	species	Marmoricola aequoreus	2	0.018823899999999998	0.018823899999999998	0.008221813387568463
176598	species	Pseudoxanthomonas taiwanensis	3	0.01261898	0.0100862	0.00862539034741037
1463899	species	Streptomyces sp. NRRL S-325	2	0.013161085	0.013161085	0.012056191832434072
370979	species	Flavobacterium defluvii	7	0.4792539642857143	0.0141794	1.0431732591915481
265291	species	Comamonas badia	3	0.05489433666666666	0.0488724	0.04982338873968764
266128	species	Stenotrophomonas koreensis	4	0.021495	0.02060725	0.009955323660233254
1054217	species	Thermoplasmatales archaeon BRNA1	2	0.07573579999999999	0.07573579999999999	0.016335439437615378
1113583	species	Lactobacillus sp. NBRC 3231	2	0.01008163	0.01008163	0.007734150124855349
57498	species	Deinococcus grandis	4	0.018611797500000003	0.0179809	0.013999312390614941
61016	species	Virgibacillus salexigens	2	0.018563295	0.018563295	0.014649138256909517
89093	species	Ignavigranum ruoffiae	2	0.013964915	0.013964915	0.013931962275158872
153151	species	Geobacillus toebii	82	0.03927872999999999	0.02891975	0.04754169502627715
88688	species	Caulobacter segnis	15	0.054188383333333326	0.0247011	0.09390247985153956
52022	species	Meiothermus silvanus	16	0.017237113749999998	0.0103873	0.015848643886565133
68909	species	Deinococcus geothermalis	22	0.015564406818181819	0.015954	0.011388539575241496
421058	species	Chryseobacterium oranimense	2	0.038347925	0.038347925	0.044505124031186
55197	species	Flavobacterium branchiophilum	4	0.170950325	0.1009568	0.22009829489906513
84634	species	Kineosporia rhamnosa	2	0.01048543	0.01048543	0.006567565357253781
510946	species	Flavobacterium cauense	2	0.024583300000000002	0.024583300000000002	0.005232448759424215
991	species	Flavobacterium hydatis	4	0.066201525	0.02222635	0.0956563965066416
362413	species	Flavobacterium aquidurense	2	0.01203817	0.01203817	0.009641160545172972
332999	species	Pedobacter suwonensis	2	0.047426695000000005	0.047426695000000005	0.05959044110607045
577386	species	Niabella yanshanensis	2	0.02247318	0.02247318	0.02821585159531429
1202724	species	Flavobacterium akiainvivens	2	0.034068895	0.034068895	0.04404059730235331
1453492	species	Chryseobacterium hispalense	2	2.26879	2.26879	2.872847572740329
395387	species	Curtobacterium ammoniigenes	2	0.01261462	0.01261462	0.011781360639790297
2098	species	Mycoplasma hominis	3	0.013266296666666668	0.0140944	0.00968364743374279
1746683	species	Leucobacter sp. HBUM179329	2	0.014741045	0.014741045	0.01583417851150005
